# Spike B promisc - run 4, burst block-count sweep, 2026-08-09, nRF54L15 DK (COM7, 115200) running
# ant_core/spike/promisc built for nrf54l15dk/nrf54l15/cpuapp.
#
# Rig: two boards. The capture board hears; the Adafruit Feather nRF52840
# already flashed with the shipping dongle firmware (0FCF:1009, serial
# ...6183) is driven as an ANT+ master by
# ant_core/spike/promisc/spike_b_drive.py --role master. Zero Feather flashes.
# Device under test: #14871 (0x3A17), device type 0x0B, transmission type 5,
# channel period 8182 (4.005 Hz) - the same transmitter Spike A used.
#
# Radio: promiscuous, PCNF0=0, BALEN=2 (on-air address A6 C5 17), STATLEN=12,
# BASE0=BASE1=0xA3650000, eight logical addresses armed (RXADDRESSES=0xFF) with
# the real devnum_lo at slot 5 and seven decoys.
#
# Line format:
#   P t=<us> dt=<us since this device's previous frame> OK|ER m=<RXMATCH>
#     rssi=<dBm> dn=<device number> ty=<device type> tt=<transmission type>
#     B3=<the byte under investigation> pl=<8 payload bytes> crc=<RADIO->RXCRC>
#     air=<us from the ADDRESS interrupt to the END interrupt>
#   S <running counters and a histogram of B3 over CRC-valid frames>
# Payload byte 0 marks what the host asked for: B0 broadcast, A0 acknowledged,
# C0 burst; byte 1 is that message's sequence number in the host script.
# Counters in S lines are cumulative since the board booted, so they span every
# run made without a reflash, not just this one.
#
# Only CRC-valid frames from this device are printed, plus CRC-failing frames
# whose channel ID still reads correctly (there were none). Frames rejected by
# the CRC are noise through a 3-byte matcher and are counted, not printed.
#
# Host sequence: 6 s broadcast, 1 acknowledged message, then bursts of
# 1, 2, 3 and 12 blocks, then 6 s broadcast. The stack raised
# EVENT_TRANSFER_TX_START three times for four bursts: the one-block
# case is not treated as a burst at all.
#
P t=1948184140 dt= +249697 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=96
P t=1948433836 dt= +249696 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=97
S t=1948575127 ours=616 foreign=0 longframe=0 crc_ok=616 crc_err=6614 addr=7230 end=7230 dropped=0  B3: 0A=590 8A=6 AA=20
P t=1948683531 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=97
P t=1948933229 dt= +249698 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=97
P t=1949182941 dt= +249712 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=81
P t=1949432636 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=AA pl=C0005AA500112233 crc=3A64 air=82
P t=1949682330 dt= +249694 OK m=5 rssi=-24 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=85
P t=1949932025 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=86
P t=1950181720 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=87
P t=1950431415 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=90
P t=1950681110 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=92
P t=1950930801 dt= +249691 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=112
P t=1951180499 dt= +249698 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=95
P t=1951430194 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=96
P t=1951679891 dt= +249697 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=96
P t=1951929580 dt= +249689 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=118
P t=1952179284 dt= +249704 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=97
P t=1952428980 dt= +249696 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=8A pl=C0005AA500112233 crc=9D98 air=96
P t=1952678677 dt= +249697 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=97
P t=1952928372 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=96
P t=1953178070 dt= +249698 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=97
P t=1953427766 dt= +249696 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=97
P t=1953677478 dt= +249712 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=82
P t=1953927173 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=83
P t=1954176868 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=84
P t=1954426563 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=85
P t=1954676257 dt= +249694 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=89
P t=1954925952 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=90
P t=1955175647 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=8A pl=C0005AA500112233 crc=9D98 air=91
P t=1955425342 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=93
P t=1955675037 dt= +249695 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=94
P t=1955924731 dt= +249694 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=97
P t=1956174427 dt= +249696 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=113
P t=1956424124 dt= +249697 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=97
P t=1956673821 dt= +249697 OK m=5 rssi=-23 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=97
