# Spike B promisc - run 2, 2026-08-09, nRF54L15 DK (COM7, 115200) running
# ant_core/spike/promisc built for nrf54l15dk/nrf54l15/cpuapp.
#
# Rig: two boards. The capture board hears; the Adafruit Feather nRF52840
# already flashed with the shipping dongle firmware (0FCF:1009, serial
# ...6183) is driven as an ANT+ master by
# ant_core/spike/promisc/spike_b_drive.py --role master. Zero Feather flashes.
# Device under test: #14871 (0x3A17), device type 0x0B, transmission type 5,
# channel period 8182 (4.005 Hz) - the same transmitter Spike A used.
#
# Radio: promiscuous, PCNF0=0, BALEN=2 (on-air address A6 C5 17), STATLEN=12,
# BASE0=BASE1=0xA3650000, eight logical addresses armed (RXADDRESSES=0xFF) with
# the real devnum_lo at slot 5 and seven decoys.
#
# Line format:
#   P t=<us> dt=<us since this device's previous frame> OK|ER m=<RXMATCH>
#     rssi=<dBm> dn=<device number> ty=<device type> tt=<transmission type>
#     B3=<the byte under investigation> pl=<8 payload bytes> crc=<RADIO->RXCRC>
#     air=<us from the ADDRESS interrupt to the END interrupt>
#   S <running counters and a histogram of B3 over CRC-valid frames>
# Payload byte 0 marks what the host asked for: B0 broadcast, A0 acknowledged,
# C0 burst; byte 1 is that message's sequence number in the host script.
# Counters in S lines are cumulative since the board booted, so they span every
# run made without a reflash, not just this one.
#
# Only CRC-valid frames from this device are printed, plus CRC-failing frames
# whose channel ID still reads correctly (there were none). Frames rejected by
# the CRC are noise through a 3-byte matcher and are counted, not printed.
#
# The independent repeat of run 1. Host sequence: 15 s broadcast, 6
# acknowledged messages 1.5 s apart, one 12-block burst attempt, 10 s
# broadcast.
#
P t=3645400605 dt=+26321692 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0005AA500112233 crc=9226 air=93
P t=3653390883 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0205AA500112233 crc=FCD0 air=96
P t=3653640578 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0215AA500112233 crc=44B1 air=97
P t=3653890290 dt= +249712 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0225AA500112233 crc=9C33 air=82
P t=3654139985 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0235AA500112233 crc=2452 air=82
P t=3654389680 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0245AA500112233 crc=3D16 air=84
P t=3654639374 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0255AA500112233 crc=8577 air=88
P t=3654889069 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0265AA500112233 crc=5DF5 air=88
P t=3655138764 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0275AA500112233 crc=E594 air=89
P t=3655388452 dt= +249688 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0285AA500112233 crc=6F7D air=112
P t=3655638154 dt= +249702 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0295AA500112233 crc=D71C air=92
P t=3655887849 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02A5AA500112233 crc=0F9E air=92
P t=3656137544 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02B5AA500112233 crc=B7FF air=94
P t=3656387237 dt= +249693 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02C5AA500112233 crc=AEBB air=97
P t=3656636934 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02D5AA500112233 crc=16DA air=97
P t=3656886630 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02E5AA500112233 crc=CE58 air=97
P t=3657136326 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B02F5AA500112233 crc=7639 air=97
P t=3657386022 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0305AA500112233 crc=CBAB air=97
P t=3657635719 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0315AA500112233 crc=73CA air=97
P t=3657885415 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0325AA500112233 crc=AB48 air=97
P t=3658135111 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0335AA500112233 crc=1329 air=97
P t=3658384808 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0345AA500112233 crc=0A6D air=97
P t=3658634504 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0355AA500112233 crc=B20C air=96
P t=3658884217 dt= +249713 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0365AA500112233 crc=6A8E air=81
P t=3659133912 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0375AA500112233 crc=D2EF air=81
P t=3659383606 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0385AA500112233 crc=5806 air=83
P t=3659633281 dt= +249675 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0395AA500112233 crc=E067 air=120
P t=3659882996 dt= +249715 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B03A5AA500112233 crc=38E5 air=86
P t=3660132691 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B03B5AA500112233 crc=8084 air=87
P t=3660382386 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B03C5AA500112233 crc=99C0 air=89
P t=3660632074 dt= +249688 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=AA pl=A0005AA500112233 crc=B7DC air=96
P t=3660881776 dt= +249702 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=91
P t=3661131470 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=93
P t=3661381165 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=95
P t=3661630860 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=96
P t=3661880556 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=97
P t=3662130252 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=97
P t=3662379948 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0005AA500112233 crc=AF92 air=97
P t=3662629645 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=AA pl=A0015AA500112233 crc=0FBD air=97
P t=3662879341 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0015AA500112233 crc=17F3 air=97
P t=3663129037 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0015AA500112233 crc=17F3 air=96
P t=3663378733 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0015AA500112233 crc=17F3 air=96
S t=3663442982 ours=390 foreign=0 longframe=0 crc_ok=390 crc_err=118 addr=508 end=508 dropped=0  B3: 0A=376 8A=2 AA=12
P t=3663628430 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0015AA500112233 crc=17F3 air=96
P t=3663878126 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0015AA500112233 crc=17F3 air=97
P t=3664127822 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0015AA500112233 crc=17F3 air=96
P t=3664377534 dt= +249712 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=AA pl=A0025AA500112233 crc=D73F air=81
P t=3664627228 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0025AA500112233 crc=CF71 air=84
P t=3664876923 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0025AA500112233 crc=CF71 air=85
P t=3665126618 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0025AA500112233 crc=CF71 air=86
P t=3665376313 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0025AA500112233 crc=CF71 air=87
P t=3665626008 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0025AA500112233 crc=CF71 air=88
P t=3665875702 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0025AA500112233 crc=CF71 air=90
P t=3666125397 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=AA pl=A0035AA500112233 crc=6F5E air=92
P t=3666375092 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0035AA500112233 crc=7710 air=94
P t=3666624787 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0035AA500112233 crc=7710 air=95
P t=3666874482 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0035AA500112233 crc=7710 air=95
P t=3667124166 dt= +249684 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0035AA500112233 crc=7710 air=124
P t=3667373874 dt= +249708 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0035AA500112233 crc=7710 air=96
P t=3667623570 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0035AA500112233 crc=7710 air=97
P t=3667873266 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=AA pl=A0045AA500112233 crc=761A air=97
P t=3668122962 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0045AA500112233 crc=6E54 air=97
P t=3668372659 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0045AA500112233 crc=6E54 air=97
P t=3668622355 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0045AA500112233 crc=6E54 air=97
P t=3668872052 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0045AA500112233 crc=6E54 air=97
P t=3669121747 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0045AA500112233 crc=6E54 air=97
P t=3669371444 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0045AA500112233 crc=6E54 air=96
P t=3669621155 dt= +249711 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=AA pl=A0055AA500112233 crc=CE7B air=82
P t=3669870850 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0055AA500112233 crc=D635 air=83
P t=3670120545 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0055AA500112233 crc=D635 air=84
P t=3670370240 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0055AA500112233 crc=D635 air=86
P t=3670619935 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0055AA500112233 crc=D635 air=87
P t=3670869630 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0055AA500112233 crc=D635 air=88
P t=3671119324 dt= +249694 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=A0055AA500112233 crc=D635 air=90
P t=3671369005 dt= +249681 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=8A pl=C0005AA500112233 crc=9D98 air=121
P t=3671618714 dt= +249709 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=C0005AA500112233 crc=222A air=93
P t=3671868409 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B03E5AA500112233 crc=F923 air=94
P t=3672118104 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B03F5AA500112233 crc=4142 air=95
P t=3672367799 dt= +249695 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0405AA500112233 crc=4FCA air=97
P t=3672617495 dt= +249696 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0415AA500112233 crc=F7AB air=97
P t=3672867192 dt= +249697 OK m=5 rssi=-17 dn=14871 ty=0B tt=5 B3=0A pl=B0425AA500112233 crc=2F29 air=97
